wallet_address,realized_profit,unrealized_profit,combined_profit,realized_roi,unrealized_roi,combined_roi,winrate,tokens_traded,average_traded_time
49mPtDTXMG1EhnDyWwwmXKFhQxMsKBP6QKWmKDayyyAw,"[{'1D': 597909.0147987037}, {'7D': 3064555.9642582643}, {'30D': 29394947.4628979}]","[{'1D': 0.5019509403506092}, {'7D': 2.969004276052957}, {'30D': -29461.854433616467}]","[{'1D': 597909.5167496441}, {'7D': 3064558.9332625405}, {'30D': 29365485.608464282}]","[{'1D': 416.7108621000077}, {'7D': 155.3921598156006}, {'30D': 476.63260835242187}]","[{'1D': 15713940.588140845}, {'7D': 15566842.301982962}, {'30D': 8329656.813711533}]","[{'1D': 317.49789078405104}, {'7D': 78.68666327477301}, {'30D': 438.72299725470737}]","[{'1D': 100}, {'7D': 90.9090909090909}, {'30D': 94.64285714285714}]","[{'1D': 1}, {'7D': 11}, {'30D': 112}]","[{'1D': 1.1497236358495901}, {'7D': 1.1497236358495901}, {'30D': 1.1497236358495901}]"
BpbH22iGafkuHwgxGdgQ61zToDZ1nTpuMqoPLZDwg5qM,"[{'1D': 0}, {'7D': 43.75620509130946}, {'30D': 43.75620509130946}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 43.75620509130946}, {'30D': 43.75620509130946}]","[{'1D': 0}, {'7D': 158.36611590959464}, {'30D': 158.36611590959464}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 72.83043255228742}, {'30D': 72.83043255228742}]","[{'1D': 0}, {'7D': 100}, {'30D': 100}]","[{'1D': 0}, {'7D': 1}, {'30D': 1}]","[{'1D': 0.0029797979797979795}, {'7D': 0.0029797979797979795}, {'30D': 0.0029797979797979795}]"
Hi8kdZH1JcL2U8KR6GHTuokcLXp9pThRb6i7XnMUBZ8V,"[{'1D': 0}, {'7D': 4108.711017120309}, {'30D': 5163.959539424187}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 4108.711017120309}, {'30D': 5163.959539424187}]","[{'1D': 0}, {'7D': 35.17743278962545}, {'30D': 235.50406167797811}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 64.82267535861521}, {'30D': 69.22675283185863}]","[{'1D': 0}, {'7D': 90}, {'30D': 66.66666666666666}]","[{'1D': 0}, {'7D': 10}, {'30D': 24}]","[{'1D': 16.773561320754716}, {'7D': 16.773561320754716}, {'30D': 16.773561320754716}]"
4tBypz9CmC9tQDzkpJMk9gxFqVMziToA3V1BwoJsHwHp,"[{'1D': 0}, {'7D': -68.92831405418384}, {'30D': 5647.205276535595}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': -68.92831405418384}, {'30D': 5647.205276535595}]","[{'1D': 0}, {'7D': -21.02965113352408}, {'30D': 296.2613637839911}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': -100}, {'30D': 196.26136378399107}]","[{'1D': 0}, {'7D': 25}, {'30D': 80.95238095238095}]","[{'1D': 0}, {'7D': 4}, {'30D': 21}]","[{'1D': 0.05486531986531986}, {'7D': 0.05486531986531986}, {'30D': 0.05486531986531986}]"
2byf7P52NJuJdjf9bYDkEeicc9jUpbeoY8Y3ZZPYY7aH,"[{'1D': 251.45409016544085}, {'7D': 518.4186539703995}, {'30D': 14607.362796858939}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 251.45409016544085}, {'7D': 518.4186539703995}, {'30D': 14607.362796858939}]","[{'1D': 15.894246667646797}, {'7D': 12.181778070028093}, {'30D': 156.99955098575364}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 84.10575333235319}, {'7D': 87.81100815273113}, {'30D': 57.00284868676515}]","[{'1D': 100}, {'7D': 65}, {'30D': 70.37037037037037}]","[{'1D': 1}, {'7D': 20}, {'30D': 54}]","[{'1D': 0.2852207977207977}, {'7D': 0.2852207977207977}, {'30D': 0.2852207977207977}]"
9oG1nXv1r2FeUU9c2fE77br4LoQD3BUKvDF6hods8WSM,"[{'1D': 0}, {'7D': 0}, {'30D': -7.703304062499997}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 0}, {'30D': -7.703304062499997}]","[{'1D': 0}, {'7D': 0}, {'30D': -37.682942106610334}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 0}, {'30D': -100}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 0}, {'30D': 1}]","[{'1D': 0.0034722222222222225}, {'7D': 0.0034722222222222225}, {'30D': 0.0034722222222222225}]"
9RV41TceTHfeWn62NfEFXANQC5WAGdmpeUcGdKRRqHoD,"[{'1D': 142.93594614637905}, {'7D': 615.6182990005141}, {'30D': 15067.986166556577}]","[{'1D': 0}, {'7D': 0}, {'30D': -6.045180988}]","[{'1D': 142.93594614637905}, {'7D': 615.6182990005141}, {'30D': 15061.940985568577}]","[{'1D': 14.551890674103246}, {'7D': 13.460485416780257}, {'30D': 143.36550086356579}]","[{'1D': 0}, {'7D': 0}, {'30D': 100}]","[{'1D': 85.44810932589677}, {'7D': 86.53278268149273}, {'30D': 43.310910345371475}]","[{'1D': 100}, {'7D': 68}, {'30D': 67.6923076923077}]","[{'1D': 1}, {'7D': 25}, {'30D': 65}]","[{'1D': 0.3537666666666667}, {'7D': 0.3537666666666667}, {'30D': 0.3537666666666667}]"
GR82PEZoJx1pCxzJZyJjyJkcNoVXAQmeduymKsAJcJfV,"[{'1D': 0}, {'7D': 27770.750386360745}, {'30D': 33822.73353124488}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 27770.750386360745}, {'30D': 33822.73353124488}]","[{'1D': 0}, {'7D': 207.2669196960392}, {'30D': 210.86292698542027}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 146.06539707750136}, {'30D': 148.93984065644824}]","[{'1D': 0}, {'7D': 100}, {'30D': 100}]","[{'1D': 0}, {'7D': 39}, {'30D': 47}]","[{'1D': 0.060904255319148934}, {'7D': 0.060904255319148934}, {'30D': 0.060904255319148934}]"
7jNYqWXAGuzW1n5BBLgJ2shV4rnzoiBmtxyHsf4WtLhv,"[{'1D': 0}, {'7D': -113.46653239433657}, {'30D': 2785.8060722599334}]","[{'1D': 0}, {'7D': 0}, {'30D': 29.46027902120836}]","[{'1D': 0}, {'7D': -113.46653239433657}, {'30D': 2815.266351281142}]","[{'1D': 0}, {'7D': -36.907413549534915}, {'30D': 172.75800437949752}]","[{'1D': 0}, {'7D': 0}, {'30D': 39.089831246959015}]","[{'1D': 0}, {'7D': -100}, {'30D': 77.66961831775873}]","[{'1D': 0}, {'7D': 50}, {'30D': 73.68421052631578}]","[{'1D': 0}, {'7D': 4}, {'30D': 19}]","[{'1D': 0.0797123015873016}, {'7D': 0.0797123015873016}, {'30D': 0.0797123015873016}]"
CPS88d75AnNoN7e6bMaAeFFjAnSFcfhhTaeHFL2nigbe,"[{'1D': 0}, {'7D': 4414.288147666722}, {'30D': 40523.71754974102}]","[{'1D': 0}, {'7D': 13211.141330369144}, {'30D': 13211.141367631797}]","[{'1D': 0}, {'7D': 17625.429478035865}, {'30D': 53734.85891737281}]","[{'1D': 0}, {'7D': 38.8788221939346}, {'30D': 316.41436310535624}]","[{'1D': 0}, {'7D': 385.3414702216521}, {'30D': 385.34146608673956}]","[{'1D': 0}, {'7D': 55.23588760976074}, {'30D': 319.5686428695318}]","[{'1D': 0}, {'7D': 83.33333333333334}, {'30D': 85.71428571428571}]","[{'1D': 0}, {'7D': 18}, {'30D': 21}]","[{'1D': 53.61922514619883}, {'7D': 53.61922514619883}, {'30D': 53.61922514619883}]"
