wallet_address,realized_profit,unrealized_profit,combined_profit,realized_roi,unrealized_roi,combined_roi,winrate,tokens_traded,average_traded_time
5AgKA77qJefctBLZKiAm3ENiHRurhZkkxRYdmnZgebos,"[{'1D': 298.1389096317953}, {'7D': 4632.944978463623}, {'30D': 26911.017899512113}]","[{'1D': 0}, {'7D': 0}, {'30D': 15.032125074633013}]","[{'1D': 298.1389096317953}, {'7D': 4632.944978463623}, {'30D': 26926.050024586744}]","[{'1D': 31.178977761588776}, {'7D': 85.89779625569565}, {'30D': 178.09584098296418}]","[{'1D': 0}, {'7D': 0}, {'30D': 40.67933606097434}]","[{'1D': 68.82102223841123}, {'7D': 12.561563474357051}, {'30D': 78.80871489107622}]","[{'1D': 75}, {'7D': 83.33333333333334}, {'30D': 87.5}]","[{'1D': 4}, {'7D': 30}, {'30D': 64}]","[{'1D': 1.7471489898989898}, {'7D': 1.7471489898989898}, {'30D': 1.7471489898989898}]"
96JBEVe3ECZ48RmvDGvvozjyUKZd6uqsvARrAd5uvKoz,"[{'1D': 0}, {'7D': 573.4605702823451}, {'30D': 10075.118834402405}]","[{'1D': 0}, {'7D': 2.297047286497301e-06}, {'30D': -346.4026943539346}]","[{'1D': 0}, {'7D': 573.4605725793924}, {'30D': 9728.716140048471}]","[{'1D': 0}, {'7D': 61.17311112504381}, {'30D': 187.88934840166397}]","[{'1D': 0}, {'7D': 13.498831958268074}, {'30D': 99.99999752428427}]","[{'1D': 0}, {'7D': 38.82688734211626}, {'30D': 81.42933832393463}]","[{'1D': 0}, {'7D': 100}, {'30D': 71.42857142857143}]","[{'1D': 0}, {'7D': 5}, {'30D': 21}]","[{'1D': 19.579078726968174}, {'7D': 19.579078726968174}, {'30D': 19.579078726968174}]"
E7Vpwi8ys3iRf2gyVtXLxA8K2CxrtCR2bD2igzR4gWWa,"[{'1D': 0}, {'7D': 115.26539246669569}, {'30D': 3901.879934510586}]","[{'1D': 0}, {'7D': 0}, {'30D': 25.78468315121539}]","[{'1D': 0}, {'7D': 115.26539246669569}, {'30D': 3927.6646176618015}]","[{'1D': 0}, {'7D': 25.2383048841888}, {'30D': 178.05982488391493}]","[{'1D': 0}, {'7D': 0}, {'30D': 44.53148591026862}]","[{'1D': 0}, {'7D': 74.76169511581121}, {'30D': 85.07896857048294}]","[{'1D': 0}, {'7D': 60}, {'30D': 72.72727272727273}]","[{'1D': 0}, {'7D': 5}, {'30D': 22}]","[{'1D': 0.06799283154121864}, {'7D': 0.06799283154121864}, {'30D': 0.06799283154121864}]"
47eS2U1tVVqJBtj8oU2f5Nk7ydxKWn6bHRQULfgC29oy,"[{'1D': 0}, {'7D': 649.632727119382}, {'30D': 4369.5354931723905}]","[{'1D': 0}, {'7D': 0}, {'30D': -167.06912688178505}]","[{'1D': 0}, {'7D': 649.632727119382}, {'30D': 4202.466366290605}]","[{'1D': 0}, {'7D': 93.0102013488514}, {'30D': 198.65543289777443}]","[{'1D': 0}, {'7D': 0}, {'30D': 94.72112874576769}]","[{'1D': 0}, {'7D': 6.989798651148588}, {'30D': 91.05984527148952}]","[{'1D': 0}, {'7D': 50}, {'30D': 64}]","[{'1D': 0}, {'7D': 8}, {'30D': 25}]","[{'1D': 0.07628787878787878}, {'7D': 0.07628787878787878}, {'30D': 0.07628787878787878}]"
AtzQ5SKksBn1qmXrcyYupAu6ee9QuNHwPkjMugZkUAhT,"[{'1D': 173.50028774882898}, {'7D': 5756.629743448316}, {'30D': 17894.659376075433}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 173.50028774882898}, {'7D': 5756.629743448316}, {'30D': 17894.659376075433}]","[{'1D': 27.218869575249137}, {'7D': 126.57224359269243}, {'30D': 164.65440567830512}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 72.78113042475084}, {'7D': 28.298519557212458}, {'30D': 65.3702040435513}]","[{'1D': 75}, {'7D': 86.36363636363636}, {'30D': 90.19607843137256}]","[{'1D': 4}, {'7D': 22}, {'30D': 51}]","[{'1D': 0.5779098915989159}, {'7D': 0.5779098915989159}, {'30D': 0.5779098915989159}]"
9tYbmUiSc7YQnmfwPCK4vmaADKUA6tZf1RgD12iukt6a,"[{'1D': 0}, {'7D': 20394.481834205726}, {'30D': 26744.75503593166}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 20394.481834205726}, {'30D': 26744.75503593166}]","[{'1D': 0}, {'7D': 675.0584280163232}, {'30D': 152.07975958726107}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 575.0684336834942}, {'30D': 52.08147847941332}]","[{'1D': 0}, {'7D': 70}, {'30D': 66.19718309859155}]","[{'1D': 0}, {'7D': 20}, {'30D': 71}]","[{'1D': 0.7402836879432625}, {'7D': 0.7402836879432625}, {'30D': 0.7402836879432625}]"
3HcE13Tk68jARMXyckdL4Zh2ajHHq6tiAxbLtZuTdHgP,"[{'1D': 0}, {'7D': 247.34734530362044}, {'30D': 12724.636123371632}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 247.34734530362044}, {'30D': 12724.636123371632}]","[{'1D': 0}, {'7D': 4.708024708785423}, {'30D': 185.1665625000723}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 95.29197529121458}, {'30D': 85.1665625000723}]","[{'1D': 0}, {'7D': 70.58823529411765}, {'30D': 79.16666666666666}]","[{'1D': 0}, {'7D': 17}, {'30D': 24}]","[{'1D': 7.827458407605466}, {'7D': 7.827458407605466}, {'30D': 7.827458407605466}]"
HQrvC7SxjxE2UgCTZEmkpLJppk1njtVKVyKZh97AXqru,"[{'1D': 0}, {'7D': 674.5475115250867}, {'30D': 3449.928715325595}]","[{'1D': 0}, {'7D': -127.43721228577972}, {'30D': -294.28428699189476}]","[{'1D': 0}, {'7D': 547.110299239307}, {'30D': 3155.6444283337}]","[{'1D': 0}, {'7D': 121.11412791744853}, {'30D': 179.69888390343306}]","[{'1D': 0}, {'7D': 63.92444284886321}, {'30D': 78.32208970976822}]","[{'1D': 0}, {'7D': 1.767057716647389}, {'30D': 64.37028952180385}]","[{'1D': 0}, {'7D': 42.857142857142854}, {'30D': 59.09090909090909}]","[{'1D': 0}, {'7D': 7}, {'30D': 22}]","[{'1D': 0.07283854166666666}, {'7D': 0.07283854166666666}, {'30D': 0.07283854166666666}]"
E96L6UYCC5A2aXtsJb7v6joEZryrGy44JCoKD4n3ySEi,"[{'1D': 4757.462611683156}, {'7D': 10335.29734462424}, {'30D': 28651.461913289946}]","[{'1D': 241.522084400201}, {'7D': 291.90030003509804}, {'30D': 307.29279896948674}]","[{'1D': 4998.984696083357}, {'7D': 10627.197644659338}, {'30D': 28958.75471225943}]","[{'1D': 604.8780164465697}, {'7D': 258.13496120610597}, {'30D': 207.9234755019372}]","[{'1D': 41.533748105802}, {'7D': 49.95650921338758}, {'30D': 45.144534353042346}]","[{'1D': 559.2319666691586}, {'7D': 73.5888470282134}, {'30D': 120.82363190753395}]","[{'1D': 100}, {'7D': 85.71428571428571}, {'30D': 71.42857142857143}]","[{'1D': 2}, {'7D': 14}, {'30D': 21}]","[{'1D': 5.239183006535948}, {'7D': 5.239183006535948}, {'30D': 5.239183006535948}]"
FPGku7yDptbuA6o9gnHAiSoh5faoTxm6vefkyrzM7AUV,"[{'1D': 0}, {'7D': 711.1552023009573}, {'30D': 8847.325762239923}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 711.1552023009573}, {'30D': 8847.325762239923}]","[{'1D': 0}, {'7D': 13.75166037130657}, {'30D': 157.67362943705479}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 86.24833962869337}, {'30D': 57.67362943705475}]","[{'1D': 0}, {'7D': 57.89473684210527}, {'30D': 63.63636363636363}]","[{'1D': 0}, {'7D': 19}, {'30D': 22}]","[{'1D': 4.507706033848418}, {'7D': 4.507706033848418}, {'30D': 4.507706033848418}]"
